TeamId,TeamName,SubmissionDate,Score
2824664,"Chet Gutwein","2019-03-18 04:20:41",0.49544
2889291,jrydell15,"2019-03-18 05:05:48",0.50932
2777176,"Thomas Novitsky","2019-03-18 13:58:47",0.49620
2911393,Draconda,"2019-03-18 13:58:53",0.48780
2850031,"Bryant Davis","2019-03-18 13:58:57",0.51346
2786649,Sandiago,"2019-03-18 14:04:31",0.51739
2850004,"Dmitrii Popov","2019-03-18 14:07:06",0.56765
2767484,SeaBreeze,"2019-03-18 14:07:20",0.46839
2878944,"Nibedita Datta","2019-03-18 14:12:15",9.32013
2877064,"Bernd Allmendinger","2019-03-18 14:17:27",0.97826
2852528,"Rintaro Masuda","2019-03-18 14:18:07",0.63378
2850004,"Dmitrii Popov","2019-03-18 14:24:21",0.56617
2905709,"David Schultz","2019-03-18 14:27:12",1.00304
2905709,"David Schultz","2019-03-18 14:28:05",0.45479
2845698,"Chill Enterprises","2019-03-18 14:37:09",13.70601
2845698,"Chill Enterprises","2019-03-18 14:42:10",12.72340
2860784,LinHaoye,"2019-03-18 14:42:58",0.48705
2775604,PabloTercero,"2019-03-18 14:45:49",2.71042
2912862,statexchange,"2019-03-18 14:51:59",0.47655
2834658,"Max Halford","2019-03-18 15:07:04",1.07292
2834658,"Max Halford","2019-03-18 15:07:35",0.52469
2914562,"Evan DeCastros","2019-03-18 16:43:53",0.48872
2898945,jkp8h,"2019-03-18 17:20:32",0.51188
2898945,jkp8h,"2019-03-18 17:21:09",0.50196
2767351,"Steve Jenkins","2019-03-18 17:24:41",0.43628
2799931,aarontrefler,"2019-03-18 17:35:00",0.57530
2904126,tito,"2019-03-18 17:53:40",0.48621
2813540,EduardoSchneider,"2019-03-18 17:59:20",0.46756
2822204,Crane,"2019-03-18 18:12:49",1.05526
2822204,Crane,"2019-03-18 18:13:22",0.50702
2894425,"Luca Massaron","2019-03-18 18:27:35",0.49519
2779855,"Sascha Leweling","2019-03-18 18:32:47",0.47843
2768152,"Marek Nurzynski","2019-03-18 18:49:12",12.72340
2827973,TheChief,"2019-03-18 18:58:08",0.49944
2779372,mlandry,"2019-03-18 19:01:03",0.44004
2770294,fab64443,"2019-03-18 19:08:37",0.47647
2776626,"Ken Miller","2019-03-18 19:15:33",1.00317
2857733,"Morten Blørstad","2019-03-18 19:27:23",0.48912
2768152,"Marek Nurzynski","2019-03-18 19:28:36",0.48341
2905123,jsmalletz,"2019-03-18 19:31:07",0.78135
2776672,"Milan Shah","2019-03-18 19:43:29",0.65248
2855058,Gabe,"2019-03-18 19:51:09",0.47964
2887103,"Rob Tandy","2019-03-18 19:51:11",0.61631
2887103,"Rob Tandy","2019-03-18 19:51:32",0.51910
2775604,PabloTercero,"2019-03-18 20:04:15",0.70690
2808241,"Stephen Pelkofer","2019-03-18 20:04:15",0.50489
2796188,utresearch,"2019-03-18 20:19:36",0.46469
2837947,truthcraze,"2019-03-18 20:32:12",1.51457
2837947,truthcraze,"2019-03-18 20:32:56",0.96632
2776725,JavierAparicio,"2019-03-18 20:34:06",0.50897
2766382,"Andrey Anisimov","2019-03-18 20:46:04",13.70586
2859091,"Loveland Digital","2019-03-18 20:47:31",0.49400
2917091,"Bryan Benway","2019-03-18 20:47:53",0.47075
2845614,"Ahmet Erdem","2019-03-18 21:03:15",0.47110
2833600,nanocular,"2019-03-18 21:05:53",0.45517
2772839,Bomada,"2019-03-18 21:10:57",0.51569
2918250,"Tyler Ransom","2019-03-18 21:19:18",0.46394
2776672,"Milan Shah","2019-03-18 21:20:06",0.61180
2918250,"Tyler Ransom","2019-03-18 21:20:34",0.44380
2812126,"Vlad Balanda","2019-03-18 21:32:05",13.70586
2855691,"Danielle Simmons","2019-03-18 21:32:51",0.69314
2779986,Canderside,"2019-03-18 21:38:01",1.06636
2917548,"raddar baseline","2019-03-18 21:39:41",0.96788
2859091,"Loveland Digital","2019-03-18 21:41:23",0.48402
2768199,gavrand,"2019-03-18 21:42:01",0.99537
2845358,"Michael Maguire","2019-03-18 21:48:17",0.49368
2793324,Nicolas,"2019-03-18 21:59:54",0.48883
2887283,Phil,"2019-03-18 22:25:06",0.46599
2796345,"Matt Davis","2019-03-18 22:32:12",0.51743
2845347,"Michael Francis","2019-03-18 22:34:11",1.02618
2845347,"Michael Francis","2019-03-18 22:34:42",0.47794
2814627,KaranJaisingh,"2019-03-18 23:38:02",0.58940
2783216,Fletcher,"2019-03-18 23:49:05",0.51344
2783216,Fletcher,"2019-03-18 23:49:45",0.49251
2767879,"Henry Tessier","2019-03-19 00:00:01",0.45650
2767879,"Henry Tessier","2019-03-19 00:00:36",0.44925
2784819,CodyBraun,"2019-03-19 00:03:17",0.54588
2811022,Gustavo,"2019-03-19 00:48:30",0.49766
2788142,Piyush,"2019-03-19 01:11:21",13.70586
2905525,Huskies19,"2019-03-19 01:20:36",0.53954
2811022,Gustavo,"2019-03-19 01:26:38",0.47359
2904079,foreshadow,"2019-03-19 01:28:05",0.46636
2771524,Sapper,"2019-03-19 01:29:24",0.51777
2919346,nakaken,"2019-03-19 01:38:16",0.49527
2777104,AlphaDrivers,"2019-03-19 01:50:23",1.01001
2777104,AlphaDrivers,"2019-03-19 01:50:48",0.46176
2918961,"Michael Dickey","2019-03-19 01:57:59",0.45190
2783657,Skyler,"2019-03-19 02:01:49",0.48662
2764941,StevenTMHsu德明,"2019-03-19 02:02:29",13.70586
2919384,"Mark Glickman","2019-03-19 02:04:19",0.59028
2809385,XiaoyuLiu,"2019-03-19 02:04:47",0.48904
2768126,Scottfree,"2019-03-19 02:09:42",0.51004
2900345,Phantom,"2019-03-19 02:11:23",0.48486
2768126,Scottfree,"2019-03-19 02:11:50",0.47652
2919203,"Eric Scott","2019-03-19 02:13:01",0.50357
2822500,OIDeepLearning,"2019-03-19 02:14:24",0.48773
2812275,ShedrickBridgeforth,"2019-03-19 02:22:39",0.50474
2877450,Preeda,"2019-03-19 02:36:08",0.83124
2789863,shishirranjan,"2019-03-19 02:38:00",13.70586
2919574,maustin10,"2019-03-19 02:39:53",0.49824
2784847,"Nick Bultman","2019-03-19 02:55:19",0.69626
2913887,schmit,"2019-03-19 03:05:12",0.48058
2888915,"Mehul Patel","2019-03-19 03:09:40",0.48954
2908745,"Let's Get This Bread 🍞","2019-03-19 03:09:55",0.45877
2824846,Gill,"2019-03-19 03:15:47",0.51180
2824846,Gill,"2019-03-19 03:19:52",0.49041
2861190,metzner28,"2019-03-19 03:33:33",0.51215
2861190,metzner28,"2019-03-19 03:34:23",0.50549
2842430,"Zack Reder","2019-03-19 03:44:00",0.49813
2838448,"TeraFlops on C480 ML M5","2019-03-19 03:49:08",0.69314
2825917,luckettpat,"2019-03-19 03:50:49",0.49936
2772364,tsomers,"2019-03-19 03:52:24",0.48661
2778185,abnerzhang,"2019-03-19 03:52:51",0.97136
2764867,Lathwal,"2019-03-19 03:58:57",0.49527
2778185,abnerzhang,"2019-03-19 04:04:40",0.46030
2764908,"Josh F","2019-03-19 04:14:39",0.48834
2842430,"Zack Reder","2019-03-19 04:19:01",0.49616
2764908,"Josh F","2019-03-19 04:46:12",0.48114
2878268,cag244,"2019-03-19 04:50:33",0.47442
2914275,mfiliberti,"2019-03-19 04:55:54",0.62299
2824178,Citril,"2019-03-19 04:56:51",0.47165
2914275,mfiliberti,"2019-03-19 04:59:59",0.60494
2855691,"Danielle Simmons","2019-03-19 05:49:21",0.50976
2773252,"Siddhartha Thakur","2019-03-19 05:52:56",0.48598
2920299,"Sridhar Korupolu","2019-03-19 06:02:41",13.70586
